modelIdentifier,spinSpeedRated,type,onMarketStartDate,spinSpeedHalf,ratedCapacity,spinClass,maxTemperatureRated,maxTemperatureQuarter,dimensionDepth,guaranteeDuration,dimensionHeight,powerNetworkStandby,moisture,spinSpeedQuarter,energyEfficiencyIndex,noiseClass,powerStandbyMode,powerOffMode,webLinkSupplier,programmeDurationHalf,programmeDurationQuarter,energyConsPerCycle,noise,waterCons,energyClass,programmeDurationRated,dimensionWidth,supplierOrTrademark,energyConsPer100Cycle,maxTemperatureHalf,powerDelayStart,rinsingEffectiveness
ES-NFB714CWA-DE,1330.0,FREE_STANDING,"[2021, 9, 10]",1330.0,7.0,B,38.0,23.0,53.0,24.0,85.0,,53.4,1330.0,52.0,B,0.5,0.5,http://www.sharphomeappliances.com,162.0,160.0,0.448,75.0,37.0,A,208.0,60.0,SHARP,45.0,28.0,4.0,5.0
ES-NFB714CWA-BX,1330.0,FREE_STANDING,"[2021, 9, 10]",1330.0,7.0,B,38.0,23.0,53.0,24.0,85.0,,53.4,1330.0,52.0,B,0.5,0.5,http://www.sharphomeappliances.com,162.0,160.0,0.448,75.0,37.0,A,208.0,60.0,SHARP,45.0,28.0,4.0,5.0
ES-NFB014CWA-BX,1330.0,FREE_STANDING,"[2021, 9, 10]",1330.0,10.0,B,41.0,23.0,58.0,24.0,85.0,,53.4,1330.0,52.0,B,0.5,0.5,http://www.sharphomeappliances.com,170.0,140.0,0.514,75.0,37.0,A,238.0,60.0,SHARP,51.0,26.0,4.0,5.0
ES-NFB914CWDA-FR,1330.0,FREE_STANDING,"[2021, 9, 10]",1330.0,9.0,B,34.0,22.0,58.0,24.0,85.0,0.0,53.4,1330.0,41.4,B,0.5,0.5,http://www.sharphomeappliances.com,170.0,170.0,0.394,75.0,36.0,A,228.0,60.0,SHARP,39.0,24.0,4.0,5.0
ES-NFB814AWB-EN,1330.0,FREE_STANDING,"[2021, 9, 10]",1330.0,8.0,B,43.0,24.0,53.0,24.0,85.0,,53.4,1330.0,60.0,B,0.5,0.5,http://www.sharphomeappliances.com,168.0,168.0,0.545,76.0,48.0,B,218.0,60.0,SHARP,55.0,29.0,4.0,5.0
ES-NFH014CWB-EN,1330.0,FREE_STANDING,"[2021, 9, 10]",1330.0,10.0,B,43.0,23.0,58.0,24.0,85.0,,53.4,1330.0,60.0,B,0.5,0.5,http://www.sharphomeappliances.com,180.0,180.0,0.592,75.0,52.0,B,239.0,60.0,SHARP,59.0,28.0,4.0,5.0
ES-NFH014CAB-EN,1330.0,FREE_STANDING,"[2021, 9, 10]",1330.0,10.0,B,43.0,23.0,58.0,24.0,85.0,,53.4,1330.0,60.0,B,0.5,0.5,http://www.sharphomeappliances.com,180.0,180.0,0.592,75.0,52.0,B,239.0,60.0,SHARP,59.0,28.0,4.0,5.0
F4WV308S3B,1360.0,FREE_STANDING,"[2021, 9, 9]",1360.0,8.0,B,39.0,23.0,57.0,24.0,85.0,,53.8,1360.0,59.7,B,0.5,0.5,https://www.lg.com/global/ajax/common_manual,168.0,150.0,0.543,73.0,48.0,B,218.0,60.0,LG Electronics,55.0,32.0,4.0,5.0
F4WV508S1B,1360.0,FREE_STANDING,"[2021, 9, 9]",1360.0,8.0,B,39.0,23.0,57.0,24.0,85.0,,53.8,1360.0,59.7,A,0.5,0.5, https://www.lg.com/global/ajax/common_manual,168.0,150.0,0.543,72.0,48.0,B,218.0,60.0,LG Electronics,55.0,32.0,4.0,5.0
4FE-9614X,1350.0,FREE_STANDING,"[2021, 9, 9]",1350.0,9.0,B,38.0,22.0,57.0,12.0,85.0,0.0,53.9,1350.0,59.9,B,1.0,0.5,https://fagorelectrodomestico.com,174.0,174.0,0.5700000000000001,76.0,50.0,B,228.0,60.0,Fagor,57.0,37.0,4.0,5.0
GW7P594210W 7178543700,1400.0,FREE_STANDING,"[2021, 9, 9]",1400.0,9.0,B,35.0,24.0,58.0,24.0,84.0,2.0,53.9,1400.0,59.5,B,0.5,0.5,http://support.grundig.com,173.0,173.0,0.5660000000000001,75.0,45.0,B,228.0,60.0,GRUNDIG,57.0,32.0,4.0,4.9
F4WV508N0B,1360.0,FREE_STANDING,"[2021, 9, 9]",1360.0,8.0,B,39.0,23.0,57.0,24.0,85.0,2.0,53.8,1360.0,59.7,A,0.5,0.5, https://www.lg.com/global/ajax/common_manual,168.0,150.0,0.543,72.0,48.0,B,218.0,60.0,LG Electronics,55.0,32.0,4.0,5.0
F4WV508S0B,1360.0,FREE_STANDING,"[2021, 9, 9]",1360.0,8.0,B,39.0,23.0,57.0,24.0,85.0,2.0,53.8,1360.0,59.7,A,0.5,0.5, https://www.lg.com/global/ajax/common_manual,168.0,150.0,0.543,72.0,48.0,B,218.0,60.0,LG Electronics,55.0,32.0,4.0,5.0
4FE-9714,1350.0,FREE_STANDING,"[2021, 9, 9]",1350.0,9.0,B,38.0,22.0,57.0,12.0,85.0,0.0,53.9,1350.0,59.9,B,1.0,0.5,https://fagorelectrodomestico.com,174.0,174.0,0.5700000000000001,76.0,50.0,B,228.0,60.0,Fagor,57.0,37.0,4.0,5.0
F84V41WHS,1360.0,FREE_STANDING,"[2021, 9, 9]",1360.0,8.0,B,37.0,26.0,57.0,24.0,85.0,2.0,53.0,1360.0,69.0,A,0.5,0.5,https://www.lg.com/global/ajax/common_manual,168.0,145.0,0.627,72.0,48.0,C,218.0,60.0,LG Electronics,63.0,37.0,4.0,5.0
F84V40WHS,1360.0,FREE_STANDING,"[2021, 9, 9]",1360.0,8.0,B,37.0,26.0,57.0,24.0,85.0,2.0,53.0,1360.0,69.0,A,0.5,0.5,https://www.lg.com/global/ajax/common_manual,168.0,145.0,0.627,72.0,48.0,C,218.0,60.0,LG Electronics,63.0,37.0,4.0,5.0
4FE-7412,1120.0,FREE_STANDING,"[2021, 9, 9]",1120.0,7.0,B,44.0,20.0,53.0,12.0,85.0,0.0,53.0,1120.0,80.0,C,1.0,0.5,https://fagorelectrodomestico.com,162.0,160.0,0.6900000000000001,79.0,45.0,D,205.0,60.0,Fagor,69.0,29.0,4.0,5.0
ES-HFB7143WD-CZ,1330.0,FREE_STANDING,"[2021, 9, 9]",1330.0,7.0,B,44.0,20.0,53.0,24.0,85.0,,53.4,1330.0,80.0,C,1.0,0.5,http://www.sharphomeappliances.com,162.0,160.0,0.6900000000000001,79.0,45.0,D,205.0,60.0,SHARP,69.0,29.0,4.0,5.0
F14WM8LN0B,1360.0,FREE_STANDING,"[2021, 9, 8]",1360.0,8.0,B,39.0,23.0,57.0,24.0,85.0,,53.8,1360.0,59.7,B,0.5,0.5,https://www.lg.com/global/ajax/common_manual,168.0,150.0,0.543,73.0,48.0,B,218.0,60.0,LG Electronics,55.0,32.0,4.0,5.0
FB84V5UTW1,1360.0,FREE_STANDING,"[2021, 9, 8]",1360.0,8.0,B,39.0,23.0,57.0,24.0,85.0,2.0,53.8,1360.0,59.7,A,0.5,0.5, https://www.lg.com/global/ajax/common_manual,168.0,150.0,0.543,72.0,48.0,B,218.0,60.0,LG Electronics,55.0,32.0,4.0,5.0
WTL72052S 7000740011,1200.0,FREE_STANDING,"[2021, 9, 8]",1200.0,7.0,B,42.0,26.0,49.0,12.0,84.0,,53.0,1200.0,90.5,B,1.0,0.5,http://support.beko.com,161.0,161.0,0.78,75.0,45.0,E,207.0,60.0,Beko,78.0,41.0,4.0,4.9
EW7F9424OP 914920718,1400.0,FREE_STANDING,"[2021, 9, 6]",1400.0,8.0,B,37.0,24.0,60.0,0.0,85.0,,53.4,1400.0,51.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914920718,165.0,165.0,0.471,74.0,42.0,A,210.0,60.0,Electrolux,47.0,36.0,4.0,4.9
EW7F8433OP 914920719,1400.0,FREE_STANDING,"[2021, 9, 6]",1400.0,8.0,B,37.0,24.0,60.0,0.0,85.0,,53.4,1400.0,51.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914920719,165.0,165.0,0.471,74.0,42.0,A,210.0,60.0,Electrolux,47.0,36.0,4.0,4.9
EW7F8438OP 914920720,1400.0,FREE_STANDING,"[2021, 9, 6]",1400.0,8.0,B,37.0,24.0,60.0,0.0,85.0,,53.4,1400.0,51.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914920720,165.0,165.0,0.471,74.0,42.0,A,210.0,60.0,Electrolux,47.0,36.0,4.0,4.9
EW7F6348B7 914920715,1400.0,FREE_STANDING,"[2021, 9, 6]",1400.0,8.0,B,37.0,24.0,60.0,24.0,85.0,,53.4,1400.0,51.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914920715,165.0,165.0,0.471,74.0,42.0,A,210.0,60.0,Electrolux,47.0,36.0,4.0,4.9
EIQINTWM147V2,1400.0,BUILT_IN,"[2021, 9, 6]",1400.0,7.0,B,37.0,23.0,54.0,24.0,83.0,,53.9,1400.0,60.0,B,1.0,0.5,www.electriq.co.uk,162.0,162.0,0.517,76.0,45.0,B,208.0,60.0,electriQ,52.0,30.0,4.0,5.0
EW6FB1484D 914917508,1351.0,FREE_STANDING,"[2021, 9, 6]",1351.0,8.0,B,41.0,22.0,58.0,24.0,85.0,,53.4,1351.0,59.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914917508,160.0,155.0,0.544,75.0,43.0,B,205.0,60.0,Electrolux,54.0,34.0,4.0,4.9
L6FB84KW 914913256,1351.0,FREE_STANDING,"[2021, 9, 6]",1351.0,8.0,B,41.0,22.0,58.0,24.0,85.0,,53.4,1351.0,59.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914913256,160.0,155.0,0.544,75.0,43.0,B,205.0,60.0,AEG,54.0,34.0,4.0,4.9
F4WV308S6U,1360.0,FREE_STANDING,"[2021, 9, 6]",1360.0,8.0,B,39.0,23.0,57.0,24.0,85.0,,53.8,1360.0,59.7,B,0.5,0.5,https://www.lg.com/global/ajax/common_manual,168.0,150.0,0.543,73.0,48.0,B,218.0,60.0,LG Electronics,55.0,32.0,4.0,5.0
