modelIdentifier,spinSpeedRated,type,onMarketStartDate,spinSpeedHalf,ratedCapacity,spinClass,maxTemperatureRated,maxTemperatureQuarter,dimensionDepth,guaranteeDuration,dimensionHeight,spinSpeedQuarter,energyEfficiencyIndex,noiseClass,powerOffMode,webLinkSupplier,programmeDurationHalf,programmeDurationQuarter,energyConsPerCycle,noise,waterCons,energyClass,programmeDurationRated,dimensionWidth,supplierOrTrademark,energyConsPer100Cycle,maxTemperatureHalf,powerDelayStart,rinsingEffectiveness
THASNQ286TMR5-84,1151.0,FREE_STANDING,"[2025, 2, 6]",1151.0,8.0,B,37.0,24.0,60.0,24.0,86.0,1151.0,51.9,C,0.5,https://manuals.he.services/,168.0,168.0,0.472,77.0,44.0,A,218.0,41.0,Haier,47.0,30.0,4.0,4.9
FF0924WA1,1400.0,FREE_STANDING,"[2025, 2, 6]",1400.0,9.0,B,36.0,24.0,56.0,24.0,85.0,1400.0,46.6,A,0.5,http://www.tcl.com/,174.0,174.0,0.443,72.0,50.0,A,228.0,60.0,TCL,44.0,30.0,4.0,5.0
F4X7013TWS,1350.0,FREE_STANDING,"[2025, 2, 5]",1350.0,13.0,B,33.0,25.0,62.0,24.0,85.0,1350.0,31.2,A,0.5,https://www.lg.com/global/ajax/common_manual,180.0,130.0,0.333,71.0,46.0,A,240.0,60.0,LG Electronics,33.0,27.0,4.0,5.0
BT652AT -03,1200.0,FREE_STANDING,"[2025, 2, 5]",1200.0,6.5,B,40.0,30.0,60.0,0.0,85.0,1200.0,79.9,C,0.5,http://www.brandt.com,150.0,110.0,0.669,79.0,43.0,D,203.0,40.0,BRANDT,67.0,29.0,2.0,5.0
VT16022 -04,1200.0,FREE_STANDING,"[2025, 2, 5]",1200.0,6.0,B,40.0,30.0,60.0,0.0,85.0,1200.0,79.9,C,0.5,http://www.vedette.fr,140.0,100.0,0.647,79.0,42.0,D,198.0,40.0,VEDETTE,65.0,35.0,4.0,5.0
VLT6112AT -04,1200.0,FREE_STANDING,"[2025, 2, 5]",1200.0,6.0,B,40.0,30.0,60.0,0.0,85.0,1200.0,79.9,C,0.5,http://www.vedette.fr,140.0,100.0,0.647,79.0,42.0,D,198.0,40.0,VEDETTE,65.0,35.0,4.0,5.0
VLT612E2 -04,1200.0,FREE_STANDING,"[2025, 2, 5]",1200.0,6.0,B,40.0,30.0,60.0,0.0,85.0,1200.0,79.9,C,0.5,http://www.vedette.fr,140.0,100.0,0.647,79.0,42.0,D,198.0,40.0,VEDETTE,65.0,35.0,4.0,5.0
LTB62000 -04,1200.0,FREE_STANDING,"[2025, 2, 5]",1200.0,6.0,B,40.0,30.0,60.0,0.0,85.0,1200.0,79.9,C,0.5,http://www.brandt.com,140.0,100.0,0.647,79.0,42.0,D,198.0,40.0,BRANDT,65.0,35.0,4.0,5.0
WEG885 WPS PWash&TDos&Steam,1400.0,FREE_STANDING,"[2025, 2, 4]",1400.0,9.0,B,33.0,25.0,64.0,24.0,85.0,1400.0,41.6,A,0.4,https://www.miele.com/,174.0,146.0,0.396,72.0,50.0,A,229.0,60.0,Miele,40.0,32.0,3.6,5.0
FFD 9479 BV EE,1351.0,FREE_STANDING,"[2025, 2, 4]",1351.0,9.0,B,35.0,24.0,63.0,24.0,85.0,1351.0,46.7,C,0.5,https://docs.whirlpool.eu/,170.0,150.0,0.444,78.0,47.0,A,225.0,60.0,WHIRLPOOL,44.0,28.0,4.0,4.9
WEG885 WCS PWash&TDos&Steam,1400.0,FREE_STANDING,"[2025, 2, 3]",1400.0,9.0,B,33.0,25.0,64.0,24.0,85.0,1400.0,41.6,A,0.4,https://www.miele.com/,174.0,146.0,0.396,72.0,50.0,A,229.0,60.0,Miele,40.0,32.0,3.6,5.0
WEG895 WPS PWash&TDos&Steam,1400.0,FREE_STANDING,"[2025, 2, 3]",1400.0,9.0,B,33.0,25.0,64.0,24.0,85.0,1400.0,41.6,A,0.4,https://www.miele.com/,174.0,146.0,0.396,72.0,50.0,A,229.0,60.0,Miele,40.0,32.0,3.6,5.0
WGH24400CH,1257.0,FREE_STANDING,"[2025, 2, 3]",1400.0,9.0,B,35.0,23.0,63.0,24.0,85.0,1400.0,41.5,A,0.5,https://www.bosch-home.com/energylabel,170.0,160.0,0.395,70.0,50.0,A,228.0,60.0,Bosch,40.0,26.0,4.0,5.0
WEB365 WPS PWash&8kg,1400.0,FREE_STANDING,"[2025, 2, 3]",1400.0,8.0,B,32.0,25.0,64.0,24.0,85.0,1400.0,41.6,A,0.3,https://www.miele.com/,168.0,149.0,0.378,72.0,48.0,A,219.0,60.0,Miele,38.0,28.0,3.0,5.0
WWA120 WPS 8kg Active,1400.0,FREE_STANDING,"[2025, 2, 3]",1400.0,8.0,B,35.0,25.0,64.0,24.0,85.0,1400.0,46.8,A,0.3,https://www.miele.com/,168.0,149.0,0.425,72.0,48.0,A,219.0,60.0,Miele,43.0,29.0,3.2,5.0
WG44G2ZEM,1351.0,FREE_STANDING,"[2025, 2, 3]",1351.0,9.0,B,38.0,22.0,63.0,24.0,85.0,1351.0,51.4,A,0.15,https://www.siemens-home.com/e-label,174.0,150.0,0.489,70.0,50.0,A,228.0,60.0,Siemens,49.0,27.0,0.6000000000000001,5.0
WWG880 WPS PWash&TDos&Steam,1400.0,FREE_STANDING,"[2025, 2, 3]",1400.0,9.0,B,33.0,25.0,64.0,24.0,85.0,1400.0,41.6,A,0.4,https://www.miele.com/,174.0,146.0,0.396,72.0,50.0,A,229.0,60.0,Miele,40.0,32.0,3.6,5.0
WA 7500,1400.0,FREE_STANDING,"[2025, 2, 1]",1400.0,7.0,B,30.0,24.0,47.0,24.0,85.0,1400.0,51.2,B,0.49,www.bomann-germany.de,162.0,157.0,0.441,76.0,40.0,A,208.0,60.0,Bomann,44.0,26.0,4.0,5.0
EVWM71411AW,1400.0,FREE_STANDING,"[2025, 2, 1]",1400.0,7.0,B,35.0,25.0,47.0,60.0,85.0,1400.0,51.5,A,0.49,www.everglades.nl,162.0,157.0,0.444,72.0,34.0,A,208.0,60.0,Everglades,44.0,29.0,4.0,5.0
HOULAVI80222EB,1200.0,FREE_STANDING,"[2025, 2, 1]",1200.0,8.0,B,34.0,21.0,48.0,24.0,85.0,1200.0,52.0,B,0.5,www.improvesrl.com,168.0,168.0,0.473,76.0,40.0,A,218.0,60.0,HOUSTYLE,47.0,27.0,4.0,5.0
WNM-12AW-CY,1400.0,FREE_STANDING,"[2025, 2, 1]",1400.0,12.0,B,34.0,20.0,64.0,24.0,85.0,1400.0,52.0,B,0.5,https://www.mywestnet.com/,192.0,192.0,0.544,76.0,50.0,A,240.0,60.0,OMNYS ,54.0,27.0,4.0,5.0
WNM-9WH25GDP,1400.0,FREE_STANDING,"[2025, 2, 1]",1400.0,9.0,B,30.0,21.0,60.0,24.0,85.0,1400.0,51.9,B,0.5,www.mywestnet.com,174.0,174.0,0.494,76.0,45.0,A,228.0,60.0,OMNYS ,49.0,29.0,4.0,5.0
EVWM91412AG,1400.0,FREE_STANDING,"[2025, 2, 1]",1400.0,9.0,B,35.0,26.0,59.0,60.0,85.0,1400.0,51.8,A,0.49,www.everglades.nl,174.0,168.0,0.493,72.0,39.0,A,228.0,60.0,Everglades,49.0,31.0,4.0,5.0
EDWA14711AW,1400.0,FREE_STANDING,"[2025, 2, 1]",1400.0,7.0,B,35.0,25.0,47.0,60.0,85.0,1400.0,51.5,A,0.49,www.edy.nl,162.0,157.0,0.444,72.0,34.0,A,208.0,60.0,Edy,44.0,29.0,4.0,5.0
